"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"�Cu�ntas horas por semana tuvo que dedicar a las actividades desarrolladas fuera de clase?";"Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que tuvo que asumir durante el desarrollo de las actividades propuestas?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con los siguientes enunciados";"";
"6201287916";"156703961";"2017-05-17 1:59:37";"2017-05-17 1:59:54";"186.155.60.231";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6200710442";"156703961";"2017-05-16 17:11:11";"2017-05-16 17:17:35";"157.253.10.165";"";"";"";"";"5";"5";"5";"4";"5";"4";"4";"4";"4";"5";"4";"4";"4";"3";"5";"5";"3";"3";"4";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6200189124";"156703961";"2017-05-16 12:51:08";"2017-05-16 12:53:05";"161.18.108.130";"";"";"";"";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6198914138";"156703961";"2017-05-15 19:46:51";"2017-05-15 19:53:22";"190.158.13.207";"";"";"";"";"3";"4";"3";"3";"4";"3";"4";"4";"4";"5";"3";"2";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"3";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"3";"2";"2";"2";"2";"3";"3";"3";"5";"5";
"6198718107";"156703961";"2017-05-15 17:16:03";"2017-05-15 17:29:00";"181.62.244.102";"";"";"";"";"4";"3";"3";"4";"5";"5";"4";"5";"5";"5";"4";"3";"4";"5";"5";"5";"0";"0";"2";"3";"4";"4";"4";"4";"3";"4";"4";"4";"3";"4";"4";"5";"5";"4";"5";"5";"4";"5";"5";"4";"4";"5";"4";"5";"5";"5";"4";
"6198709288";"156703961";"2017-05-15 17:05:33";"2017-05-15 17:17:45";"186.29.157.4";"";"";"";"";"5";"4";"4";"3";"4";"2";"3";"2";"3";"4";"5";"5";"5";"5";"4";"4";"0";"0";"2";"3";"4";"4";"5";"5";"5";"3";"2";"5";"3";"4";"3";"3";"2";"3";"4";"4";"5";"5";"5";"2";"2";"2";"2";"3";"4";"4";"4";
"6198093966";"156703961";"2017-05-15 11:52:27";"2017-05-15 21:18:21";"201.245.214.6";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"4";"4";"5";"5";"5";"5";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6197991050";"156703961";"2017-05-15 11:22:23";"2017-05-15 11:30:29";"152.201.38.209";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"3";"0";"0";"0";"0";"2";"3";"5";"3";"5";"5";"3";"5";"3";"4";"3";"1";"5";"4";"5";"5";"4";"5";"4";"3";"4";"4";"4";"4";"4";"5";"4";"5";"4";
"6197898362";"156703961";"2017-05-15 10:43:19";"2017-05-15 10:53:38";"181.128.211.143";"";"";"";"";"5";"5";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";
"6197433604";"156703961";"2017-05-15 5:51:30";"2017-05-15 5:52:44";"186.82.226.11";"";"";"";"";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"3";"3";"3";"3";"4";"4";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"4";"3";"3";"2";"3";"4";"3";"3";"4";"3";"3";"3";"3";"3";"2";"2";"2";
"6197069340";"156703961";"2017-05-14 20:51:48";"2017-05-14 21:01:42";"181.55.231.194";"";"";"";"";"5";"5";"5";"4";"4";"4";"4";"0";"5";"4";"5";"5";"5";"5";"4";"5";"0";"0";"2";"3";"5";"4";"5";"5";"4";"4";"5";"5";"5";"5";"3";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6196750510";"156703961";"2017-05-14 10:26:10";"2017-05-14 10:30:30";"181.49.65.99";"";"";"";"";"4";"4";"4";"5";"4";"5";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"3";"3";"2";"3";"3";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"5";"3";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6196731742";"156703961";"2017-05-14 9:45:43";"2017-05-14 9:49:47";"190.24.56.18";"";"";"";"";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"3";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"3";"5";"5";"5";"5";"3";"3";"3";"5";"5";"5";"5";"3";"3";"3";"3";"3";"3";"5";"5";
"6196339090";"156703961";"2017-05-13 15:45:33";"2017-05-13 15:59:20";"186.31.8.237";"";"";"";"";"4";"4";"4";"3";"4";"4";"3";"2";"4";"5";"4";"4";"4";"4";"4";"5";"0";"0";"1";"2";"5";"5";"3";"4";"4";"4";"5";"4";"4";"3";"4";"5";"3";"4";"4";"5";"5";"4";"5";"3";"4";"5";"4";"4";"5";"5";"5";
"6196294863";"156703961";"2017-05-13 14:27:13";"2017-05-13 14:32:52";"186.29.54.211";"";"";"";"";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"0";"0";"0";"1";"3";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"3";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";
"6196165796";"156703961";"2017-05-13 10:52:50";"2017-05-14 21:35:43";"186.82.138.204";"";"";"";"";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"4";"4";"3";"4";"4";"4";"4";"2";"4";"3";"4";"4";"4";"4";"4";"4";"4";"3";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"3";"3";"3";"2";"2";"3";"4";"4";
"6195849058";"156703961";"2017-05-13 0:12:10";"2017-05-13 0:22:16";"167.0.208.58";"";"";"";"";"4";"3";"3";"4";"4";"4";"4";"4";"4";"5";"3";"2";"4";"4";"4";"4";"4";"4";"2";"3";"2";"3";"3";"3";"2";"4";"2";"5";"1";"2";"3";"1";"4";"4";"3";"4";"4";"4";"4";"3";"2";"2";"2";"4";"1";"5";"1";
"6195758443";"156703961";"2017-05-12 21:11:29";"2017-05-12 21:21:19";"181.131.25.71";"";"";"";"";"4";"4";"4";"3";"5";"4";"5";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6195757185";"156703961";"2017-05-12 21:09:23";"2017-05-12 21:19:09";"200.118.9.97";"";"";"";"";"4";"4";"2";"3";"4";"4";"3";"3";"4";"4";"4";"4";"4";"3";"3";"4";"4";"0";"3";"3";"3";"4";"4";"4";"4";"5";"3";"5";"5";"5";"5";"5";"4";"3";"4";"3";"5";"5";"4";"3";"3";"2";"2";"2";"3";"4";"4";
"6195658916";"156703961";"2017-05-12 18:49:56";"2017-05-12 18:54:13";"186.80.244.193";"";"";"";"";"5";"5";"5";"5";"5";"4";"5";"3";"4";"5";"4";"5";"5";"4";"5";"5";"0";"0";"2";"3";"4";"4";"4";"4";"4";"4";"3";"5";"2";"4";"3";"2";"4";"4";"4";"4";"5";"5";"5";"4";"5";"4";"4";"4";"3";"5";"4";
"6195630067";"156703961";"2017-05-12 18:17:12";"2017-05-12 18:37:32";"181.49.70.81";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"5";"3";"3";"5";"4";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"5";"5";
"6195629962";"156703961";"2017-05-12 18:18:42";"2017-05-12 18:24:50";"201.245.209.176";"";"";"";"";"4";"2";"4";"0";"4";"0";"4";"4";"4";"4";"4";"1";"4";"4";"4";"4";"4";"4";"2";"3";"3";"3";"4";"4";"4";"4";"2";"4";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6195612804";"156703961";"2017-05-12 18:03:02";"2017-05-12 18:05:44";"186.87.52.170";"";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"3";"3";"4";"4";"5";"5";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6195440831";"156703961";"2017-05-12 15:59:27";"2017-05-12 16:13:41";"179.32.90.101";"";"";"";"";"5";"4";"5";"5";"5";"4";"4";"4";"4";"5";"4";"5";"4";"3";"4";"5";"4";"4";"2";"3";"4";"5";"4";"4";"4";"4";"5";"5";"5";"4";"3";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"4";"4";"4";"4";"5";"4";
"6195402355";"156703961";"2017-05-12 15:35:18";"2017-05-12 15:51:11";"186.80.201.232";"";"";"";"";"4";"4";"4";"3";"4";"4";"3";"4";"5";"4";"4";"4";"4";"4";"5";"4";"4";"4";"2";"3";"4";"5";"5";"4";"4";"5";"5";"4";"5";"4";"3";"5";"3";"4";"4";"4";"5";"4";"5";"4";"4";"4";"4";"4";"4";"5";"5";
"6195394516";"156703961";"2017-05-12 15:32:02";"2017-05-12 15:37:09";"200.118.74.202";"";"";"";"";"5";"5";"3";"3";"5";"5";"2";"2";"4";"4";"2";"2";"4";"4";"4";"4";"3";"3";"2";"4";"4";"1";"4";"5";"4";"5";"4";"4";"4";"5";"3";"3";"5";"3";"4";"3";"3";"3";"2";"1";"3";"1";"1";"1";"3";"3";"5";
"6195282127";"156703961";"2017-05-12 14:27:38";"2017-05-12 14:33:44";"181.61.15.235";"";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"5";"3";"4";"3";"0";"0";"0";"0";"2";"3";"3";"4";"5";"5";"4";"4";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";"2";"2";"4";"4";"5";
"6195257827";"156703961";"2017-05-12 14:11:45";"2017-05-12 14:54:14";"157.253.227.139";"";"";"";"";"4";"3";"3";"";"";"";"";"";"";"";"4";"2";"3";"2";"1";"1";"1";"1";"4";"5";"3";"3";"3";"3";"3";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"4";"3";"4";"3";"2";"2";"2";"2";"2";"5";"3";"3";
"6195131713";"156703961";"2017-05-12 13:07:33";"2017-05-12 13:11:45";"186.30.67.141";"";"";"";"";"5";"5";"5";"";"";"";"";"";"";"";"5";"4";"4";"3";"4";"4";"4";"0";"1";"3";"5";"5";"5";"5";"5";"5";"3";"3";"4";"5";"4";"5";"3";"3";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6195107798";"156703961";"2017-05-12 12:54:18";"2017-05-12 12:55:42";"181.234.42.144";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6195064437";"156703961";"2017-05-12 12:33:25";"2017-05-12 12:39:27";"179.32.81.47";"";"";"";"";"4";"4";"4";"";"";"";"";"";"";"";"3";"3";"4";"2";"5";"5";"3";"3";"2";"3";"4";"4";"3";"4";"3";"4";"4";"4";"3";"3";"2";"4";"3";"3";"4";"4";"4";"4";"3";"3";"3";"3";"3";"3";"3";"4";"4";
"6195039211";"156703961";"2017-05-12 12:20:29";"2017-05-12 12:20:40";"181.247.102.230";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6195035692";"156703961";"2017-05-12 12:18:19";"2017-05-12 12:24:11";"152.202.48.247";"";"";"";"";"5";"4";"4";"";"";"";"";"";"";"";"3";"4";"5";"2";"5";"5";"0";"0";"2";"3";"4";"4";"5";"4";"4";"4";"4";"5";"5";"3";"3";"4";"5";"5";"5";"4";"5";"5";"5";"4";"3";"4";"4";"4";"4";"4";"4";
