"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados. Marque NO APLICA (N/A) en los caso que considere necesario.";"";"O10_En promedio, �Cu�ntas horas por semana ha tenido que dedicar a las actividades a desarrollar fuera de clase?";"O11_Teniendo en cuenta las caracter�sticas del curso, �c�mo considera la carga acad�mica que ha tenido que asumir durante el desarrollo de las actividades?";"Por favor indique qu� tan de acuerdo est� con cada uno de las siguientes enunciados:";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";
"6493276455";"164697969";"2017-11-02 12:13:57";"2017-11-02 12:19:00";"190.25.36.99";"Login estudiante12283";"";"";"";"5";"5";"5";"5";"4";"4";"4";"4";"2";"3";"4";"4";"3";"4";"3";"4";"1";"3";"3";"3";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6492985992";"164697969";"2017-11-02 10:32:46";"2017-11-02 10:35:56";"157.253.221.110";"Login estudiante10434";"";"";"";"5";"5";"5";"4";"2";"4";"5";"5";"5";"4";"4";"4";"4";"4";"4";"5";"4";"5";"3";"5";"4";"4";"3";"3";"5";"1";"3";"5";"5";"5";"4";"4";"4";"2";"5";
"6492775763";"164697969";"2017-11-02 9:16:04";"2017-11-02 9:20:07";"157.253.254.177";"Login estudiante16473";"";"";"";"4";"4";"4";"2";"2";"4";"4";"4";"4";"4";"2";"5";"5";"4";"4";"4";"5";"2";"4";"3";"1";"4";"4";"4";"3";"4";"4";"";"";"";"";"";"";"";"";
"6492706487";"164697969";"2017-11-02 8:46:37";"2017-11-02 8:54:25";"157.253.217.45";"Login estudiante16474";"";"";"";"5";"4";"4";"4";"4";"4";"3";"3";"4";"3";"4";"4";"3";"4";"5";"5";"4";"5";"5";"5";"5";"5";"2";"4";"5";"3";"4";"3";"3";"5";"4";"4";"3";"3";"4";
"6492693618";"164697969";"2017-11-02 8:40:09";"2017-11-02 9:04:40";"157.253.145.197";"Login estudiante16475";"";"";"";"4";"5";"2";"5";"2";"4";"5";"2";"6";"5";"2";"3";"4";"4";"1";"4";"1";"2";"4";"2";"3";"3";"4";"2";"4";"2";"5";"5";"1";"3";"4";"2";"4";"3";"1";
"6487655521";"164697969";"2017-10-31 10:48:08";"2017-10-31 10:51:52";"157.253.222.74";"Login estudiante5025";"";"";"";"4";"4";"4";"4";"2";"4";"3";"3";"5";"3";"4";"4";"4";"4";"4";"2";"4";"3";"4";"3";"4";"4";"4";"3";"5";"5";"5";"4";"4";"4";"2";"2";"2";"2";"3";
"6486197768";"164697969";"2017-10-30 18:31:39";"2017-10-30 18:44:16";"157.253.250.19";"Login estudiante15680";"";"";"";"4";"4";"4";"2";"3";"4";"4";"4";"4";"3";"4";"4";"4";"2";"4";"4";"2";"5";"3";"4";"4";"4";"4";"2";"4";"4";"4";"5";"5";"5";"5";"3";"5";"5";"5";
"6485922801";"164697969";"2017-10-30 16:25:36";"2017-10-30 16:36:01";"181.49.76.101";"Login estudiante16476";"";"";"";"4";"4";"4";"4";"2";"4";"1";"2";"5";"4";"4";"5";"4";"2";"4";"4";"3";"5";"4";"4";"5";"5";"4";"4";"5";"2";"4";"4";"2";"3";"4";"2";"4";"2";"2";
"6485760318";"164697969";"2017-10-30 15:25:51";"2017-10-30 16:00:08";"157.253.211.58";"Login estudiante16477";"";"";"";"1";"1";"1";"1";"1";"1";"1";"1";"5";"3";"1";"2";"3";"3";"3";"3";"4";"4";"4";"4";"4";"4";"2";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6485490776";"164697969";"2017-10-30 13:00:20";"2017-10-30 13:05:29";"157.253.155.59";"Login estudiante3911";"";"";"";"5";"4";"5";"3";"4";"1";"4";"4";"3";"4";"4";"3";"4";"2";"3";"4";"3";"4";"4";"4";"4";"4";"2";"1";"3";"1";"1";"4";"4";"4";"5";"4";"4";"4";"3";
"6485454964";"164697969";"2017-10-30 12:47:50";"2017-10-30 12:53:31";"157.253.145.145";"Login estudiante6200";"";"";"";"5";"5";"5";"5";"2";"4";"3";"4";"4";"4";"2";"3";"3";"4";"4";"4";"4";"3";"1";"2";"5";"5";"5";"2";"2";"2";"2";"2";"3";"3";"4";"4";"4";"4";"3";
"6485307283";"164697969";"2017-10-30 11:58:11";"2017-10-30 12:10:19";"157.253.154.201";"Login estudiante8782";"";"";"";"4";"4";"4";"4";"2";"3";"3";"3";"4";"3";"2";"4";"3";"4";"4";"4";"3";"4";"3";"5";"4";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";"4";"4";"4";"3";
"6485060690";"164697969";"2017-10-30 10:34:35";"2017-10-30 10:40:03";"157.253.176.26";"Login estudiante3994";"";"";"";"5";"5";"5";"5";"5";"5";"5";"5";"7";"4";"4";"5";"5";"5";"5";"5";"5";"2";"4";"2";"3";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6484986290";"164697969";"2017-10-30 10:04:16";"2017-10-30 10:16:56";"157.253.186.254";"Login estudiante6260";"";"";"";"5";"5";"5";"5";"5";"5";"0";"0";"6";"3";"5";"4";"3";"4";"4";"2";"5";"3";"4";"4";"3";"5";"4";"4";"5";"2";"4";"5";"5";"5";"1";"2";"1";"1";"3";
"6484984406";"164697969";"2017-10-30 10:01:32";"2017-10-30 10:10:22";"157.253.143.199";"Login estudiante16478";"";"";"";"4";"4";"4";"4";"4";"4";"5";"5";"3";"3";"4";"4";"4";"3";"4";"5";"5";"5";"4";"5";"5";"5";"5";"4";"5";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";
"6484965168";"164697969";"2017-10-30 10:00:31";"2017-10-30 10:11:10";"157.253.223.72";"Login estudiante16479";"";"";"";"5";"5";"4";"4";"4";"2";"5";"4";"2";"4";"3";"2";"3";"3";"4";"4";"3";"3";"4";"2";"3";"3";"4";"3";"4";"4";"3";"4";"4";"4";"3";"3";"3";"4";"4";
