"respondent_id";"collector_id";"date_created";"date_modified";"ip_address";"email_address";"first_name";"last_name";"custom_1";"Apreciado estudiante,Su participaci�n en esta encuesta es voluntaria y la informaci�n recolectada ser� objeto de reportes, investigaciones o productos acad�micos, cuidando siempre que no se revele su identidad.Si decide participar, por favor marque �S� y luego haga clic en el bot�n "Sig." que aparece abajo. En caso de que no desee participar, por favor cierre esta p�gina.Gracias por su colaboraci�n.";"Por favor indique el profesor a cargo de la secci�n en la que se encuentra inscrito(a)";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados (Marque N/A en caso de que alguno de los enunciados no aplique de acuerdo con su experiencia):";"";"";"";"O10_En promedio, �cu�ntas horas por semana�ha tenido�que dedicar a las actividades desarrolladas fuera de clase?";"O11_�C�mo considera la carga acad�mica del curso?";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado:";"A4_En una escala de 1 a 5 (siendo 1 el m�nimo y 5 el m�ximo) valore el aporte de cada una de las siguientes actividades a su proceso de aprendizaje.";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con cada uno de los siguientes enunciados:";"";"";"";"";"";"";"";"Por favor indique qu� tan de acuerdo est� con el siguiente enunciado.";
"6509754144";"165427744";"2017-11-09 16:38:56";"2017-11-09 16:46:37";"157.253.158.132";"Login estudiante12406";"";"";"";"1";"1";"2";"3";"1";"4";"3";"4";"5";"4";"4";"4";"4";"5";"3";"3";"2";"3";"4";"4";"3";"3";"2";"2";"4";"3";"3";"1";"4";"4";"4";"5";"5";"4";"3";"1";"5";"2";"2";"4";"1";"1";"2";"1";"1";"1";"1";"1";"2";
"6509753610";"165427744";"2017-11-09 16:38:29";"2017-11-09 16:45:30";"157.253.139.130";"Login estudiante12420";"";"";"";"1";"1";"4";"3";"4";"4";"5";"4";"2";"4";"3";"0";"0";"5";"4";"4";"4";"5";"5";"4";"4";"2";"5";"4";"2";"3";"3";"4";"3";"4";"4";"5";"5";"4";"3";"4";"4";"3";"4";"4";"3";"4";"4";"4";"4";"3";"3";"4";"5";
"6509753411";"165427744";"2017-11-09 16:38:43";"2017-11-09 16:47:54";"157.253.138.60";"Login estudiante12394";"";"";"";"1";"1";"4";"4";"4";"2";"5";"5";"4";"3";"4";"4";"4";"5";"3";"4";"4";"4";"4";"4";"4";"3";"5";"4";"4";"1";"1";"2";"3";"3";"3";"2";"2";"1";"3";"2";"4";"4";"3";"3";"5";"5";"5";"3";"3";"4";"4";"4";"5";
"6509753148";"165427744";"2017-11-09 16:38:41";"2017-11-09 16:49:26";"157.253.162.142";"Login estudiante12446";"";"";"";"1";"2";"4";"2";"3";"4";"4";"3";"2";"4";"4";"0";"0";"5";"3";"4";"3";"4";"2";"2";"3";"4";"5";"2";"3";"1";"2";"5";"3";"3";"3";"5";"4";"3";"3";"3";"5";"4";"4";"4";"4";"3";"4";"4";"3";"3";"3";"2";"5";
"6509752789";"165427744";"2017-11-09 16:38:31";"2017-11-09 16:46:18";"157.253.153.46";"Login estudiante12408";"";"";"";"1";"1";"4";"3";"4";"2";"5";"5";"4";"4";"4";"4";"4";"13";"4";"4";"5";"4";"4";"4";"5";"3";"5";"4";"4";"4";"2";"4";"5";"4";"5";"3";"3";"4";"4";"4";"5";"3";"3";"4";"5";"5";"5";"5";"4";"4";"3";"4";"5";
"6509752679";"165427744";"2017-11-09 16:38:13";"2017-11-09 16:47:40";"157.253.135.49";"Login estudiante12400";"";"";"";"1";"1";"5";"5";"5";"5";"4";"4";"4";"5";"5";"0";"0";"6";"4";"5";"5";"5";"5";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"2";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6509752631";"165427744";"2017-11-09 16:38:26";"2017-11-09 16:48:53";"157.253.145.53";"Login estudiante12398";"";"";"";"1";"1";"3";"1";"3";"3";"4";"3";"2";"5";"4";"4";"2";"2";"4";"3";"4";"3";"4";"4";"3";"4";"4";"1";"3";"2";"2";"5";"5";"4";"1";"4";"4";"4";"3";"3";"4";"4";"4";"4";"4";"4";"4";"3";"3";"4";"4";"3";"5";
"6509752339";"165427744";"2017-11-09 16:37:31";"2017-11-09 16:50:20";"157.253.123.237";"Login estudiante12436";"";"";"";"1";"2";"4";"3";"5";"4";"3";"5";"3";"0";"0";"5";"5";"8";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6509752140";"165427744";"2017-11-09 16:37:47";"2017-11-09 16:48:22";"152.201.168.154";"Login estudiante12439";"";"";"";"1";"2";"2";"4";"4";"2";"4";"3";"2";"2";"4";"4";"2";"10";"3";"4";"2";"4";"3";"2";"3";"1";"5";"4";"2";"1";"1";"4";"2";"4";"4";"4";"4";"2";"2";"2";"4";"2";"4";"4";"4";"4";"4";"3";"3";"4";"2";"3";"5";
"6509752021";"165427744";"2017-11-09 16:38:15";"2017-11-09 16:48:18";"157.253.135.252";"Login estudiante10188";"";"";"";"1";"1";"3";"2";"4";"2";"2";"4";"3";"4";"2";"3";"3";"8";"4";"4";"2";"4";"4";"2";"4";"2";"4";"3";"2";"4";"3";"2";"4";"3";"4";"4";"4";"3";"4";"4";"4";"4";"5";"4";"4";"4";"2";"2";"3";"3";"3";"4";"5";
"6509751787";"165427744";"2017-11-09 16:38:11";"2017-11-09 16:45:26";"157.253.227.47";"Login estudiante12448";"";"";"";"1";"2";"4";"2";"5";"2";"5";"5";"1";"0";"0";"0";"0";"4";"3";"2";"2";"5";"5";"4";"5";"1";"5";"3";"3";"1";"1";"4";"2";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"2";"2";"1";"1";"1";"1";"1";"5";"5";
"6509751479";"165427744";"2017-11-09 16:38:03";"2017-11-09 16:42:35";"157.253.158.42";"Login estudiante12418";"";"";"";"1";"1";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"8";"3";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6509751308";"165427744";"2017-11-09 16:37:39";"2017-11-09 21:50:54";"157.253.135.48";"Login estudiante10099";"";"";"";"1";"1";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"5";"13";"5";"4";"4";"4";"4";"4";"4";"4";"5";"3";"4";"4";"4";"4";"5";"5";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6509750832";"165427744";"2017-11-09 16:37:27";"2017-11-09 16:48:35";"157.253.158.192";"Login estudiante12393";"";"";"";"1";"1";"4";"3";"3";"4";"2";"3";"3";"0";"0";"0";"0";"6";"4";"4";"4";"5";"5";"5";"4";"4";"5";"3";"4";"3";"1";"2";"5";"5";"5";"3";"4";"3";"3";"3";"4";"4";"4";"5";"4";"4";"4";"4";"3";"4";"4";"5";"5";
"6509750824";"165427744";"2017-11-09 16:37:44";"2017-11-09 16:47:51";"157.253.157.116";"Login estudiante12401";"";"";"";"1";"1";"4";"5";"4";"4";"4";"4";"5";"5";"5";"5";"5";"9";"3";"4";"2";"5";"5";"4";"4";"4";"5";"4";"4";"3";"3";"5";"4";"2";"5";"4";"3";"5";"4";"5";"5";"2";"4";"5";"5";"5";"5";"4";"3";"5";"5";"2";"5";
"6509750747";"165427744";"2017-11-09 16:37:36";"2017-11-09 16:44:44";"157.253.162.181";"Login estudiante12454";"";"";"";"1";"2";"3";"4";"4";"3";"2";"4";"5";"5";"5";"5";"5";"6";"3";"2";"2";"4";"4";"3";"4";"2";"5";"3";"1";"1";"1";"3";"4";"4";"4";"4";"3";"4";"3";"4";"4";"4";"4";"4";"4";"3";"4";"4";"4";"4";"4";"4";"5";
"6509750684";"165427744";"2017-11-09 16:37:40";"2017-11-09 16:48:27";"157.253.134.174";"Login estudiante12415";"";"";"";"1";"1";"5";"4";"4";"5";"5";"5";"3";"0";"0";"0";"0";"6";"3";"4";"5";"5";"5";"5";"5";"4";"5";"4";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6509749998";"165427744";"2017-11-09 16:37:27";"2017-11-09 16:46:15";"157.253.158.209";"Login estudiante12396";"";"";"";"1";"1";"4";"4";"4";"4";"4";"4";"4";"0";"0";"0";"4";"6";"4";"4";"4";"5";"4";"4";"4";"4";"5";"4";"3";"4";"3";"3";"4";"4";"4";"5";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";
"6509749979";"165427744";"2017-11-09 16:37:01";"2017-11-09 16:43:49";"157.253.125.230";"Login estudiante12419";"";"";"";"1";"1";"5";"4";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6509749937";"165427744";"2017-11-09 16:36:46";"2017-11-09 16:44:07";"157.253.139.168";"Login estudiante12405";"";"";"";"1";"1";"4";"4";"5";"4";"4";"5";"2";"4";"4";"4";"4";"9";"3";"4";"4";"5";"5";"5";"5";"5";"5";"5";"5";"4";"3";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"4";"5";"5";"4";"4";"5";"5";"5";"5";"5";"5";"5";
"6509749772";"165427744";"2017-11-09 16:37:20";"2017-11-09 16:47:43";"157.253.153.72";"Login estudiante12416";"";"";"";"1";"1";"5";"4";"4";"5";"3";"4";"2";"4";"4";"4";"4";"6";"3";"4";"4";"3";"4";"2";"3";"4";"5";"3";"5";"3";"3";"4";"5";"5";"5";"5";"5";"5";"4";"5";"5";"4";"5";"5";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6509749762";"165427744";"2017-11-09 16:37:26";"2017-11-09 16:47:54";"157.253.139.200";"Login estudiante3776";"";"";"";"1";"1";"3";"4";"4";"3";"4";"4";"2";"4";"4";"4";"4";"6";"3";"2";"4";"4";"4";"4";"3";"4";"4";"3";"3";"4";"2";"5";"4";"4";"5";"4";"4";"3";"3";"4";"5";"5";"5";"4";"4";"3";"3";"4";"4";"4";"4";"4";"5";
"6509749598";"165427744";"2017-11-09 16:37:08";"2017-11-09 16:46:58";"157.253.158.202";"Login estudiante12413";"";"";"";"1";"1";"4";"3";"3";"3";"4";"4";"5";"4";"4";"0";"4";"5";"4";"4";"4";"4";"4";"4";"4";"5";"5";"4";"4";"3";"4";"4";"5";"4";"4";"4";"4";"5";"5";"4";"5";"4";"4";"4";"4";"4";"4";"3";"3";"4";"3";"3";"4";
"6509749518";"165427744";"2017-11-09 16:36:46";"2017-11-09 16:48:34";"157.253.139.64";"Login estudiante5123";"";"";"";"1";"1";"4";"5";"3";"5";"3";"4";"3";"4";"5";"0";"0";"7";"2";"5";"3";"5";"4";"5";"5";"2";"4";"5";"5";"5";"2";"5";"5";"5";"5";"3";"4";"3";"3";"4";"3";"4";"3";"3";"4";"3";"2";"2";"5";"5";"5";"2";"5";
"6509749372";"165427744";"2017-11-09 16:37:13";"2017-11-09 16:43:09";"157.253.121.194";"Login estudiante12390";"";"";"";"1";"1";"4";"4";"4";"5";"5";"4";"5";"5";"5";"5";"5";"9";"3";"4";"3";"5";"5";"5";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6509749173";"165427744";"2017-11-09 16:37:13";"2017-11-09 16:44:01";"157.253.153.157";"Login estudiante9926";"";"";"";"1";"1";"5";"4";"4";"5";"5";"5";"4";"5";"4";"5";"5";"4";"3";"4";"5";"5";"5";"4";"4";"4";"5";"4";"5";"5";"3";"4";"4";"5";"5";"5";"4";"4";"5";"5";"5";"5";"5";"3";"4";"5";"4";"4";"5";"5";"5";"4";"5";
"6509749116";"165427744";"2017-11-09 16:37:11";"2017-11-09 16:51:06";"157.253.158.222";"Login estudiante5943";"";"";"";"1";"1";"4";"5";"5";"5";"4";"4";"2";"5";"5";"0";"0";"7";"3";"5";"3";"5";"5";"5";"5";"3";"4";"4";"5";"4";"4";"3";"4";"4";"4";"4";"4";"3";"3";"3";"5";"5";"5";"3";"3";"4";"3";"5";"5";"5";"5";"4";"5";
"6509748899";"165427744";"2017-11-09 16:37:03";"2017-11-09 16:47:11";"152.201.143.249";"Login estudiante12397";"";"";"";"1";"1";"5";"5";"5";"5";"5";"2";"5";"5";"5";"5";"5";"7";"3";"2";"2";"5";"5";"5";"5";"5";"5";"3";"5";"4";"1";"5";"5";"5";"3";"2";"4";"3";"4";"5";"5";"3";"5";"4";"5";"5";"5";"5";"5";"5";"5";"5";"5";
"6509748711";"165427744";"2017-11-09 16:36:55";"2017-11-09 16:51:19";"157.253.145.50";"Login estudiante12389";"";"";"";"1";"1";"4";"4";"4";"5";"5";"3";"3";"5";"5";"3";"3";"9";"4";"5";"4";"5";"4";"4";"5";"4";"5";"5";"5";"3";"4";"4";"4";"4";"4";"3";"4";"3";"4";"3";"4";"3";"3";"4";"5";"5";"5";"5";"4";"5";"4";"3";"5";
"6509748542";"165427744";"2017-11-09 16:36:57";"2017-11-09 16:43:55";"157.253.134.237";"Login estudiante12410";"";"";"";"1";"1";"4";"2";"3";"4";"2";"4";"4";"5";"5";"4";"4";"4";"3";"2";"3";"3";"3";"4";"3";"3";"5";"3";"2";"2";"2";"4";"5";"4";"3";"3";"3";"2";"2";"4";"5";"4";"4";"5";"3";"3";"3";"4";"4";"4";"3";"4";"5";
"6509748473";"165427744";"2017-11-09 16:36:37";"2017-11-09 16:43:47";"157.253.139.47";"Login estudiante10626";"";"";"";"1";"1";"4";"4";"5";"5";"5";"5";"4";"4";"4";"4";"4";"6";"4";"4";"5";"5";"5";"4";"4";"4";"4";"3";"4";"3";"2";"3";"4";"3";"4";"4";"3";"4";"3";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";
"6509748319";"165427744";"2017-11-09 16:36:49";"2017-11-09 16:42:57";"157.253.153.75";"Login estudiante12417";"";"";"";"1";"1";"4";"2";"4";"4";"4";"4";"4";"4";"5";"4";"5";"5";"3";"2";"4";"5";"5";"5";"5";"4";"5";"4";"4";"3";"4";"5";"5";"5";"5";"4";"4";"4";"4";"3";"5";"5";"5";"5";"4";"4";"4";"5";"5";"5";"5";"5";"5";
"6509748312";"165427744";"2017-11-09 16:36:50";"2017-11-10 8:13:19";"157.253.134.19";"Login estudiante12412";"";"";"";"1";"1";"4";"4";"5";"5";"4";"4";"3";"5";"5";"4";"4";"4";"3";"4";"4";"5";"5";"5";"4";"3";"5";"4";"2";"3";"3";"4";"4";"5";"4";"4";"4";"3";"4";"4";"4";"3";"4";"4";"4";"4";"4";"5";"5";"5";"4";"4";"5";
"6509748297";"165427744";"2017-11-09 16:36:49";"2017-11-09 16:43:47";"157.253.139.210";"Login estudiante12421";"";"";"";"1";"1";"3";"3";"3";"3";"2";"4";"3";"4";"4";"3";"3";"3";"3";"2";"3";"4";"3";"4";"4";"4";"3";"3";"3";"1";"1";"3";"4";"4";"4";"4";"4";"4";"4";"4";"5";"5";"5";"3";"3";"4";"5";"4";"4";"3";"3";"4";"4";
"6509748104";"165427744";"2017-11-09 16:36:31";"2017-11-09 16:46:14";"157.253.139.181";"Login estudiante3839";"";"";"";"1";"1";"4";"4";"3";"5";"5";"4";"5";"4";"4";"0";"0";"5";"3";"4";"4";"5";"4";"4";"4";"4";"5";"4";"5";"4";"3";"4";"5";"5";"5";"5";"5";"4";"4";"3";"4";"4";"4";"5";"4";"4";"5";"3";"3";"3";"3";"3";"5";
"6509747991";"165427744";"2017-11-09 16:36:38";"2017-11-09 16:43:27";"157.253.158.156";"Login estudiante12414";"";"";"";"1";"1";"1";"1";"2";"2";"1";"1";"1";"1";"1";"1";"1";"9";"3";"2";"1";"2";"1";"1";"2";"1";"5";"5";"5";"3";"4";"5";"5";"5";"5";"3";"3";"2";"2";"2";"2";"2";"2";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"6509747980";"165427744";"2017-11-09 16:35:45";"2017-11-09 16:45:11";"157.253.165.81";"Login estudiante12449";"";"";"";"1";"2";"4";"2";"2";"3";"2";"3";"1";"4";"3";"2";"2";"5";"4";"2";"4";"2";"3";"2";"3";"2";"4";"2";"2";"2";"2";"3";"3";"4";"4";"4";"4";"3";"2";"3";"5";"2";"2";"2";"4";"4";"3";"4";"4";"3";"4";"3";"4";
"6509747101";"165427744";"2017-11-09 16:36:17";"2017-11-09 16:41:52";"157.253.165.55";"Login estudiante12440";"";"";"";"1";"2";"5";"4";"5";"4";"5";"4";"5";"5";"5";"4";"4";"7";"3";"4";"3";"5";"4";"4";"5";"4";"5";"4";"5";"4";"3";"5";"5";"5";"4";"4";"5";"4";"4";"4";"5";"3";"4";"4";"4";"5";"4";"5";"3";"5";"5";"4";"5";
"6509747007";"165427744";"2017-11-09 16:36:25";"2017-11-09 16:50:38";"157.253.170.243";"Login estudiante10197";"";"";"";"1";"2";"2";"2";"3";"3";"2";"4";"2";"3";"4";"3";"3";"6";"3";"4";"3";"4";"3";"3";"3";"4";"5";"4";"5";"3";"1";"5";"5";"5";"3";"4";"4";"4";"4";"4";"5";"4";"4";"5";"4";"4";"5";"5";"4";"4";"5";"4";"5";
"6509746162";"165427744";"2017-11-09 16:35:25";"2017-11-09 16:42:24";"157.253.170.244";"Login estudiante12447";"";"";"";"1";"2";"4";"5";"3";"5";"3";"4";"4";"4";"4";"4";"4";"5";"3";"4";"2";"4";"4";"2";"3";"2";"4";"3";"2";"2";"3";"2";"2";"4";"4";"4";"4";"2";"2";"3";"4";"4";"4";"3";"3";"3";"4";"3";"3";"3";"3";"3";"5";
"6509745869";"165427744";"2017-11-09 16:35:38";"2017-11-09 16:44:54";"157.253.162.129";"Login estudiante10213";"";"";"";"1";"2";"5";"4";"5";"5";"5";"5";"3";"5";"5";"0";"0";"4";"2";"4";"4";"3";"3";"4";"4";"4";"3";"1";"4";"1";"1";"5";"4";"4";"4";"4";"3";"4";"5";"5";"5";"2";"4";"5";"3";"4";"5";"4";"4";"5";"4";"4";"5";
